name,summary,introduction,open_time,district,address,tel,category,consume,seg,cate
廣興肉脯店,肉干利用整塊原肉切片，配合熬煮4小時的秘方醬料一起醃製，經過一整晚後透過陽光的曝曬和含有些許蜜香的龍眼木炭文火炭烤下，呈現出南台灣艷陽特有的色澤與滋味。肉酥主要用慢慢的火把豬肉熬到糜爛而不是用粉來假裝酥脆，因為絕頂的肉酥是酥而不是脆。,肉干利用整塊原肉切片，配合熬煮4小時的秘方醬料一起醃製，經過一整晚後透過陽光的曝曬和含有些許蜜香的龍眼木炭文火炭烤下，呈現出南台灣艷陽特有的色澤與滋味。肉酥主要用慢慢的火把豬肉熬到糜爛而不是用粉來假裝酥脆，因為絕頂的肉酥是酥而不是脆。,週一~週日08:00~20:00,中西區,700 臺南市中西區府前路一段90巷62號,-2226567,伴手好禮,美食,"['整塊', '原肉', '醬料', '經過', '過陽光', '曝曬', '許蜜香', '龍眼', '現出', '灣艷陽', '色澤', '豬肉', '糜爛', '用粉', '假裝', '因為', '絕頂', '整晚', '南台', '酥脆', '肉干', '火炭', '秘方', '切片', '木炭', '火把', '滋味', '不是', '特有', '配合', '慢慢', '利用', '一起', '有些', '主要']",伴手好禮
不老莊藥膳香腸,藥膳香腸調理上加養生藥材，以溫體豬肉現做，讓藥食同源呈現健康概念，更能讓肉質更Q嫩鮮美，具有古早味，吃起來有特殊口感。藥膳香腸吃起來有古早味香氣，咀嚼大塊肉口感，爽口不油膩！,"1989年不老莊萌芽於南門路&rdquo;全台首學&rdquo;孔子廟對面，府中老街商圈入口處。以46種養生中藥香草加58度金門高梁酒，取現宰之鮮活前後腿溫體豬肉，角切大塊肉，不加防腐劑也不加色素、粉料，純是成豬的原塊肉（在45分鐘之內完成調味，溫體肉較易吸收）調製而成，以凸顯出藥膳香腸與眾不同的醇厚特殊口感，香味、鮮味十足，清爽不油膩，油脂不易屯積腹內，宜消化的特點，怕肥胖及上了年紀的人，均可安心食用。而它紮實的口感，讓它蟬聯了三屆（二○○七至二○○九年）府城十大伴手禮。

因店內大部份產品均以中藥香草為主要素材，且以健康為理念，所以取名為「不老莊」，希望讓人吃了身體健康，不會老。



&nbsp;",週一~週日08:30~21:00,中西區,700 臺南市中西區南門路53號,-2261408,伴手好禮,美食,"['rdquo', '中藥', '溫體', '香草', '口感', '高梁酒', '粉料', '1989', '老莊', '南門路', '首學', '對面', '46', '種養生', '58', '度金門', '取現', '宰之鮮活', '前後腿', '豬肉', '角切', '大塊', '純是', '成豬', '原塊', '45', '分鐘', '調味', '較易', '以凸', '顯出', '藥膳', '香腸', '與眾', '不油膩', '屯積', '腹內', '特點', '年紀', '實的', '蟬聯', '三屆', '七至', '伴手禮', '因店', '產品', '不老莊', '身體', '不會', 'nbsp', '健康', '味十足', '全台', '老街', '大部份', '醇厚', '商圈', '府城', '防腐', '素材', '清爽', '取名', '不加', '色素', '肥胖', '入口', '萌芽', '香味', '安心', '孔子', '油脂', '九年', '食用', '不易', '理念', '消化', '十大', '吸收', '特殊', '希望', '完成', '不同', '所以', '主要']",伴手好禮
日勿rhalife - 赤崁糖原糖概念館,赤崁糖另帶著一般黑糖所沒有的「龍眼碳焙香味」，100%甘蔗汁直煉，無添加、零加工未抽「糖蜜」之真黑糖，經檢驗含26種營養素，是最優質的「天然複合維生素」，為頂級廚師、烘焙師提味之「夢幻食材」。,1990年總監吳易隆傳承「孔明鼎」古法，創新改良種蔗方式，研發以海帶、蘿蔔葉等82種植物堆肥滋養甘蔗。2006年與嘉南大學食品科技系產學合作，研發保存黑糖「柵欄技術」。2008年以黑糖古名「赤崁糖」註冊為商標，經過近400年，終於能以臺灣自有黑糖品牌，引領世界性黑糖養生新風潮。,週一~週五10:00–19:00 週六~週日09:00–21:00,中西區,700 臺南市中西區永福路二段188號,-2229329,伴手好禮,美食,"['黑糖', '研發', '1990', '總監', '吳易隆', '傳承', '創新', '種蔗', '以海帶', '82', '滋養', '2006', '大學', '科技系', '產學', '柵欄', '技術', '2008', '經過', '400', '終於能', '引領', '養生', '新風潮', '嘉南', '堆肥', '世界性', '孔明', '改良', '甘蔗', '自有', '保存', '品牌', '食品', '植物', '合作', '方式']",伴手好禮
東山產業生產合作社,精選東山頂級咖啡豆利用獨到的烘焙技術呈現出其獨特果香風味，微酸的口感在品嘗風味上更添加味覺上的層次變化。由其飲用完後利用杯子的杯子的餘溫可鮮明的帶出獨特果香味值得您留心玩味一番。東山地方產業正處於傳統農業轉型精緻休閒農業的重要時刻，初期需以合作社為主以帶頭的方式，塑造經營新的經濟模式及產業活動。透過有系統的教育訓練及輔導逐步引導在地產業轉型，已達創造更有利的經濟環境及模式。,精選東山頂級咖啡豆利用獨到的烘焙技術呈現出其獨特果香風味，微酸的口感在品嘗風味上更添加味覺上的層次變化。由其飲用完後利用杯子的杯子的餘溫可鮮明的帶出獨特果香味值得您留心玩味一番。 　　東山地方產業正處於傳統農業轉型精緻休閒農業的重要時刻，初期需以合作社為主以帶頭的方式，塑造經營新的經濟模式及產業活動。透過有系統的教育訓練及輔導逐步引導在地產業轉型，已達創造更有利的經濟環境及模式。,週一~週日09:00-18:00,東山區,733 臺南市東山區青山里青山37之1號,-6860157,伴手好禮,美食,"['東山', '風味', '轉型', '經濟', '杯子', '模式', '精選', '頂級', '獨到', '技術', '現出', '獨特', '品嘗', '味覺', '層次', '變化', '飲用', '餘溫', '可鮮明', '帶出', '獨特果', '產業', '正處', '傳統', '農業', '時刻', '需以', '為主以', '帶頭', '經營', '及產業', '活動', '透過', '系統', '訓練', '輔導', '引導', '地產業', '已達', '創造', '環境', '咖啡豆', '烘焙', '果香', '微酸', '玩味', '利用', '口感', '合作社', '留心', '香味', '添加', '塑造', '有利', '一番', '初期', '值得', '教育', '逐步', '方式', '地方', '重要']",伴手好禮
芳榮米廠,無米樂栽培稻米的情感與香Q口感的好米責任，強調誠懇樸實【人文】才是品牌故事主角。無米樂社區是日本時代手工藺草編織袋產地的大本營，也是農村傳統婦女養家糊口重要來源之一，透過無米樂復古草編的包裝再利用，讓米有加分效果，並使產業與文化結合在一起，帶動社區觀光產業及經濟效益提昇，讓社區農民生命力再現。,"無米樂栽培稻米的情感與香Q口感的好米責任，強調誠懇樸實【人文】才是品牌故事主角。 　　無米樂區是日本時代手工藺草編織袋產地的大本營，也是農村傳統婦女養家糊口重要來源之一，透過無米樂復古草編的包裝再利用，讓米有加分效果，並使產業與文化結合在一起，帶動社區觀光產業及經濟效益提昇，讓社區農民生命力再現。
台南經典伴手禮：因為紀錄片「無米樂」而轟動全國的芳榮米廠，捧紅的不僅是片中古意的主角「崑濱伯」他種的「台農七十一號」益全香米，曾打敗池上米榮獲2006年全國冠軍米王。「復古草編單包裝」禮盒，是運用稻穀收穫後剩餘的稻草作為包裝材料，響應節能減碳的設計不僅創新還非常環保，頗具意義很適合當作伴手好禮！",週一~週六08:00–18:00，週日休息,後壁區,731 臺南市後壁區頂長里長短樹1號,-6621269,伴手好禮,美食,"['無米樂', '包裝', '社區', '全國', '不僅', '主角', '責任', '強調', '誠懇樸實', '無米樂區', '時代', '藺草', '編織袋', '產地', '大本營', '農村', '傳統', '婦女', '養家', '來源', '透過', '古草編', '並使', '產業', '帶動', '觀光產業', '經濟', '農民', '再現', '經典', '手禮', '因為紀', '錄片', '轟動', '芳榮米', '捧紅', '濱伯', '他種', '台農', '益全', '香米', '打敗', '米榮', '2006', '冠軍米', '古草', '編單', '禮盒', '運用', '剩餘', '作為', '響應', '節能', '減碳', '設計', '創新還', '環保', '具意', '義很適', '合當', '手好禮', '七十一', '池上', '古意', '作伴', '片中', '糊口', '台南', '口感', '有加', '合在一起', '稻草', '稻米', '生命力', '人文', '手工', '情感', '栽培', '效益', '故事', '品牌', '效果', '材料', '文化', '日本', '利用', '之一', '重要']",伴手好禮
振發茶行,振發茶行已歷經四代經營，由當初的南勢港輾轉遷移至台南市民權路一段，茶莊風貌雖老舊，但店中仍留著先祖遺留下來的老店招牌、櫃台、錫桶、木架等家當，向後人細數百餘年來的風霜歲月。特色，店內陳設仍是早其傳統商店使用的木製櫃台、錫製茶桶、木製陳列架等舊家當，老招牌字號仍懸掛店門口，茶葉仍以紙張手工包裝後蓋上牛角店章，參觀時令人有時空錯置之感。,振發茶行已歷經四代經營，由當初的南勢港輾轉遷移至台南市民權路一段，茶莊風貌雖老舊，但店中仍留著先祖遺留下來的老店招牌、櫃台、錫桶、木架等家當，向後人細數百餘年來的風霜歲月。 　　振發茶行的開基始祖嚴朱生於清道光十六年（1836），原籍福建省泉州府同安澳內感化里石澳堡石佛內鄉，排行第三，約於清咸豐年間隻身過海來台，在近南勢港的水仙宮後街開設盛發茶行，以販賣福建武夷茶為業。盛發茶行在嚴朱公經營下日漸成長茁壯，曾為南勢港一帶聞名的茶行，後傳子朱才，又名朱財，再傳孫嚴鍾棋，又名嚴鍾奇，即今振發茶行店東嚴燦城之父，計已留傳四代。 　　茶行店門口懸掛著的刻有「振發」二字的木匾，係原盛發老店留傳下來的老招牌，當年將「盛」字挖除補上木塊改刻「振」字的痕跡依然清晰可見。舖子裡依然保持早年茶行的陳列方式，面對顧客的兩個大木櫃即是留傳了一百餘年的櫃台，後面尚有二座背靠牆壁的木架，架上放滿了各山名茶的茶桶。 　　店東嚴燦城熱心的解釋這種老式櫃檯的妙用，原來它是一個木板釘製的大木櫃，裡面空蕩蕩可供放置物品，而其精妙之處卻在可活動的櫃面，上面留有一個方形的小洞，掌櫃者所收的銅錢、銀兩即由此小孔投入，外人無從伸手探取，只有掌櫃者可由內側拉動檯面結合板，始可將之翻起，以收拾、計算一日經營所得。現在這種古老的櫃檯雖有少數老店仍予保存，但已寥寥可數。 戀甘醇　府城喫茶去卅文化茶卅振發茶莊：http://www.libertytimes.com.tw/2003/new/may/18/life/fashion-6.htm 《找茶高手》台南古都　尋找老茶行卅曾至賢：http://forums.chinatimes.com/life/Fun_sunday/93112115.htm 傳承： 創辦人：嚴朱 祖籍：福建泉州府同安縣澳內鄉感化里石澳堡石佛內 第一代　嚴朱 第二代　嚴財 第三代　嚴鐘奇 第四代　嚴燦成 特色： 　　店內陳設仍是早其傳統商店使用的木製櫃台、錫製茶桶、木製陳列架等舊家當，老招牌字號仍懸掛店門口，茶葉仍以紙張手工包裝後蓋上牛角店章，參觀時令人有時空錯置之感。,週一~週日10:00~18:30,中西區,700 臺南市中西區民權路一段137號,-2222652,伴手好禮,美食,"['茶行', '振發', '老店', '招牌', '經營', '南勢', '茶莊', '櫃台', '澳內', '石澳堡', '盛發', '店東', '嚴燦城', '留傳', '店門口', '懸掛', '茶桶', '這種', '一個', '掌櫃者', 'http', 'com', 'life', 'htm', '嚴朱', '同安', '石佛', '大木', '四代', '感化', '木架', '台南', '泉州', '又名', '福建', '木匾', '探取', '挖除', '合板', '甘醇', '歷經', '當初', '轉遷', '權路', '風貌', '老舊', '但店', '留著', '錫桶', '等家當', '向後人', '細數', '百餘年', '風霜歲', '開基', '嚴朱生', '1836', '內鄉', '咸豐', '年間', '身過', '海來', '近南勢', '宮後街', '開設', '以販賣', '武夷茶', '為業', '朱公經', '營下', '日漸', '成長', '茁壯', '曾為', '一帶', '聞名', '傳子', '朱才', '朱財', '傳孫嚴', '嚴鍾奇', '今振發', '計已', '二字', '原盛發', '留傳下', '當年將', '補上', '木塊', '改刻', '痕跡', '可見', '子裡', '面對', '顧客', '兩個', '櫃即', '餘年', '牆壁', '放滿', '各山', '熱心', '解釋', '原來', '裡面', '之處', '活動', '櫃面', '所收', '銅錢', '銀兩即', '側拉動', '面結', '始可將', '計算', '現在', '少數', '仍予', '可數', '茶卅振發', 'www', 'libertytimes', 'tw', '2003', 'new', 'may', '18', 'fashion', '尋找', '老茶', '行卅曾', '至賢', 'forums', 'chinatimes', 'Fun', 'sunday', '93112115', '傳承', '創辦', '嚴財', '嚴鐘奇', '嚴燦成', '店內', '傳統', '字號', '茶葉', '以紙', '包裝後蓋', '店章', '參觀']",伴手好禮
金德春老茶莊,金德春茶舖創業於清同治七年（1868），至今已傳至第五代，茶舖座落至今未改。第四代負責人林應龍先生，小學就讀於立人國小，回憶童年時都在武廟、媽祖間及關帝港附近玩耍，當時抽籤巷內其他的行業還有打剪刀、做蝨柄的，轉角處有商家賣戲台上用的燈飾，店面很亮很亮，令人印象深刻。該巷又因抽籤算命很興盛，遂稱抽籤巷。特色，店內一整排盛裝茶葉的大茶甕已有百年歷史，是清朝時，唐山商人運來台灣賣的，日治時期美軍轟炸台灣，將這附近的房子都夷為平地，大茶甕也多遭損毀，現在店內剩下不到十個。,金德春茶舖創業於清同治七年（1868），至今已傳至第五代，茶舖座落至今未改。第四代負責人林應龍先生，小學就讀於立人國小，回憶童年時都在武廟、媽祖間及關帝港附近玩耍，當時抽籤巷內其他的行業還有打剪刀、做蝨柄的，轉角處有商家賣戲台上用的燈飾，店面很亮很亮，令人印象深刻。該巷又因抽籤算命很興盛，遂稱抽籤巷。 　　小時候因店務繁忙，大人們若沒空去拜拜，會交代小孩子代辦，出門前還再三叮嚀要向神明拜三拜、跪三次，拜拜用的糕仔要放哪，茶葉一包要打開放哪，當時孩子會覺得幫父母去拜拜是做一件孝順父母的事，很有榮譽感。祭祀禮品中，茶葉是大禮，尤其是一包好茶。以前的人一定會買一包好茶當作祭拜品，除了表現誠心外，拜完後泡茶喝了也保平安。因此開茶葉店於此也有地緣上的關係。 　　第三代樹伯仔，當初到福建安溪學烘焙茶的技巧，回來後先教女兒，因為當時林應龍太小，學不到技術，女兒學得很好，雖然嫁人後不再賣茶，但也常回到店裡關心生意的情形。一直以來，都是自家人的事業，不曾收過學徒，小本生意只求安分守己循序漸進，不求名利，才能在平穩中求發展。今年歲已大，事業的重擔已由第五代林岳陽接手，後繼有人也就安心了。 社會新聞卅南市新美街巷內　老茶行裡百年茶甕：http://enews.ccu.edu.tw/modules/news/article.php?storyid=3683 金德春茶舖卅撰文．鄭道聰：http://www.tncsec.gov.tw/b_native/index.php?act=home&amp;c03=46&amp;c04=4#77 傳承： 創辦人：宣師 祖籍：福建永春 第一代　宣師 第二代　阿暉仙 第三代　樹伯仔 第四代　林應龍（茶心仔） 第五代　林岳陽 特色： 　　店內一整排盛裝茶葉的大茶甕已有百年歷史，是清朝時，唐山商人運來台灣賣的，日治時期美軍轟炸台灣，將這附近的房子都夷為平地，大茶甕也多遭損毀，現在店內剩下不到十個。,週一~週日09:00–20:00,中西區,700 臺南市中西區新美街109號,-2283802,伴手好禮,美食,"['茶葉', '拜拜', '第五代', '一包', '應龍', '當時', '樹伯仔', '女兒', '事業', '林岳陽', 'http', 'tw', 'php', 'amp', '宣師', '台灣', '金德', '春茶', '很亮', '第四代', '第三代', '百年', '福建', '整排', '父母', '創業', '1868', '已傳', '負責', '人林', '小學', '立人國', '回憶', '武廟', '媽祖間', '關帝', '行業', '還有', '做蝨', '轉角處', '賣戲', '燈飾', '該巷', '很興盛', '小時候', '店務', '沒空', '代辦', '出門', '前還', '叮嚀', '拜三拜', '仔要', '開放', '會覺', '孝順', '榮譽感', '禮品', '大禮', '當作', '表現', '誠心外', '開茶', '葉店', '地緣', '上的關', '當初', '回來', '先教', '因為', '當時林', '技術', '學得', '雖然', '店裡', '關心', '以來', '收過', '學徒', '漸進', '不求名利', '平穩', '中求', '發展', '重擔', '後繼', '社會', '新聞卅', '新美', '老茶', '行裡', 'enews', 'ccu', 'edu', 'modules', 'news', 'article', 'storyid', '3683', '鄭道聰', 'www', 'tncsec', 'gov', 'native', 'index', 'act', 'home', 'c03', '46', 'c04', '77', '傳承', '創辦', '阿暉', '林應龍', '茶心', '店內', '盛裝', '歷史', '運來', '日治', '時期', '美軍轟炸', '大茶', '損毀', '現在', '十個', '保平安', '南市', '烘焙', '座落', '多遭', '循序', '永春', '小本生意', '不到', '安溪', '附近', '祭拜', '安分守己', '未改', '清同治', '泡茶', '自家人', '嫁人', '店面', '算命', '神明', '唐山', '玩耍']",伴手好禮
文峰茶莊,陳家先祖於清同治年間，由福建泉州府移民來台，定居於枋橋頭富商吳尚新的「吳園」旁，迄今已有138年歷史。文峰茶莊至第三代為止是歷代傳承，第四代始由兄弟姐妹依序傳承，先由第四代陳復麟傳給大兒子陳玉麟，之後由姊姊接掌經營二十多年，再傳承給現今的第六代陳玉雄、黃玉梅夫婦。特色，店面不大，但店內陳設了各式年代久遠的茶具、茶餅、老茶桶等茶文物，想瞭解台南茶文化發展的人，可以到文峰茶行看看。,陳家先祖於清同治年間，由福建泉州府移民來台，定居於枋橋頭富商吳尚新的「吳園」旁，迄今已有138年歷史。文峰茶莊至第三代為止是歷代傳承，第四代始由兄弟姐妹依序傳承，先由第四代陳復麟傳給大兒子陳玉麟，之後由姊姊接掌經營二十多年，再傳承給現今的第六代陳玉雄、黃玉梅夫婦。 　　開基祖陳錦雲，初創業時經常往返廈門採辦買貨，店內保留了多張明治二十九年（1896）往返廈門的通行護照可為證。起初開店時有三間店面，一間洋行，一間茶莊，一間中醫館，中醫師是被稱為「坊橋頭登志仙」的第二代陳登志時所開設。 　　第四代陳玉麟則積極推廣茶葉，並成立台南茶商業公會，現第六任陳玉雄仍擔任茶商公會理事，文峰茶行因時代轉換及社會經濟的變遷，今雖然風華不在，但從店內的歷史文物仍可窺見當年的繁榮。 茶商公會：www.tntb.com.tw/about_history.php 天空部落：blog.yam.com/TEACOFE/article/17785124 文峰茶行：tw.knowledge.yahoo.com/question/question?qid=1607032007385 傳承： 創辦人：陳錦雲 祖籍：福建泉州府 開基祖　陳錦雲 第二代　陳登志 第三代　陳復麟 第四代　陳玉麟，之後為兄弟姐妹依序傳承 第五任　陳玉麟之姊卅第六任　陳玉雄 特色： 　　店面不大，但店內陳設了各式年代久遠的茶具、茶餅、老茶桶等茶文物，想瞭解台南茶文化發展的人，可以到文峰茶行看看。,週一~週日09:00~23:00,中西區,700 臺南市中西區民權路二段36號,-2244711,伴手好禮,美食,"['文峰', '第四代', '傳承', '玉麟', '玉雄', '一間', 'com', '茶商', '第六任', '依序', '橋頭', '歷史', '茶莊', '開基祖', '廈門', '公會', 'tw', 'question', '台南', '兄弟姐妹', '店面', '第三代', '第二代', '往返', '泉州', '文物', '福建', '接掌', '年間', '來台', '吳尚', '吳園', '138', '為止', '歷代傳', '始由', '傳給', '大兒子', '之後由', '經營', '傳承給', '現今', '夫婦', '創業', '經常', '採辦', '買貨', '店內', '1896', '護照', '可為證', '開店', '三間', '醫館', '中醫師', '登志仙', '登志時', '開設', '玉麟則', '積極', '推廣茶', '業公會', '擔任', '因時代', '轉換', '社會', '經濟', '變遷', '雖然', '風華', '窺見', '當年', '繁榮', 'www', 'tntb', 'about', 'history', 'php', 'blog', 'yam', 'TEACOFE', 'article', '17785124', 'knowledge', 'yahoo', 'qid', '1607032007385', '創辦', '登志', '之後為', '但店', '內陳設', '久遠', '茶餅', '茶桶', '瞭解', '發展', '第五任', '茶文化', '姊姊', '玉梅', '迄今已有', '第六代', '清同治', '茶行', '先祖', '明治', '先由', '茶具', '富商', '各式', '二十九年', '二十多年', '洋行', '祖籍', '理事', '移民', '通行', '起初', '定居', '部落', '天空', '特色', '保留', '看看', '成立', '年代', '可以']",伴手好禮
